#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
1,ShareChat,Bengaluru,India,Asia,200,45280,15,1333,1133,Consumer,Series H,$1700,2023,12.97194,77.59369
2,InSightec,Haifa,Israel,Asia,100,45279,20,500,400,Healthcare,Unknown,$733,2023,32.81841,34.9885
3,Enphase Energy,San Francisco Bay Area,USA,North America,350,45278,10,3500,3150,Energy,Post-IPO,$116,2023,37.54827,-121.98857
4,Udaan,Bengaluru,India,Asia,100,45278,10,1000,900,Retail,Unknown,1500,2023,12.97194,77.59369
5,Cruise,San Francisco Bay Area,USA,North America,900,45274,24,3750,2850,Transportation,Acquired,$15000,2023,37.77493,-122.41942
6,Bolt,San Francisco Bay Area,USA,North America,130,45274,29,450,320,Finance,Series E,$1300,2023,37.77493,-122.41942
7,Invitae,San Francisco Bay Area,USA,North America,235,45273,15,1567,1332,Healthcare,Post-IPO,2500,2023,37.77493,-122.41942
8,Etsy,New York City,USA,North America,225,45273,11,2045,1820,Retail,Post-IPO,$97,2023,40.71427,-74.00597
9,Chipper Cash,San Francisco Bay Area,USA,North America,15,45271,33,45,30,Finance,Series C,$302,2023,37.77493,-122.41942
10,Zulily,Seattle,USA,North America,839,45268,100,839,0,Retail,Acquired,$194,2023,47.60621,-122.33207
11,ZestMoney,Bengaluru,India,Asia,150,45265,100,150,0,Finance,Series C,$120,2023,12.97194,77.59369
12,Navan,San Francisco Bay Area,USA,North America,145,45265,5,2900,2755,Finance,Unknown,2200,2023,37.44188,-122.14302
13,Incredibuild,Tel Aviv,Israel,Asia,40,45265,20,200,160,Product,Series B,$35,2023,32.08088,34.78057
14,Spotify,Stockholm,Sweden,Europe,1500,45264,17,9200,7700,Media,Post-IPO,$2100,2023,59.32938,18.06871
15,Loco,Mumbai,India,Asia,40,45260,36,111,71,Consumer,Acquired,$52,2023,19.07283,72.88261
16,Zepz,London,United Kingdom,Europe,30,45260,2,1500,1470,Finance,Series E,$700,2023,51.50853,-0.12574
